[Time 0] Task T1 Released, ExecTime: 1
[Time 74] Task T4 Running, Remaining: 0
[Time 75] Task T4 Completed, Response: 3
[Time 75] Task T5 Released, ExecTime: 2
[Time 75] Task T5 Running, Remaining: 1
[Time 76] Task T5 Running, Remaining: 0
[Time 77] Task T5 Completed, Response: 2
[Time 77] Task T2 Running, Remaining: 2
[Time 78] Task T1 Released, ExecTime: 1
[Time 78] Task T1 Running, Remaining: 0
[Time 79] Task T1 Completed, Response: 1
[Time 79] Task T2 Running, Remaining: 1
